symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
GC=F,GC,Gold Futures,금 선물,귀금속,Precious metals proxy.,4534.0,4535.9,4524.8,4527.4,4629.9,4527.4,-2.21,-2.07,-0.15,0.24,0.04,0.06,Bearish,39.2,5318.4,3181.4,-14.9,3.0,,,,,,,,-51.3416,-36.3958,-14.9458,Bearish,7.91,0.007,Neutral,3,4850.9,-6.67,False,4645.62,-2.54,False,4106.68,10.24,False,0,51.0,58.0,50,34.0,64.25,51.33
PL=F,PL,Platinum Futures,백금 선물,귀금속,Platinum precious metals proxy.,1959.3,1961.8,1953.0,1956.4,1996.6,1956.4,-2.01,-1.87,-0.15,0.45,0.13,0.17,Bearish,45.1,2852.4,957.5,-31.4,2.14,,,,,,,,-21.4701,-14.0717,-7.3983,Improving,13.05,0.231,Neutral,3,2059.71,-5.02,False,2033.94,-3.81,False,1715.35,14.05,False,0,43.0,74.6,50,34.0,57.5,52.4
HG=F,HG,Copper Futures,구리 선물,산업금속,Industrial metals proxy.,5.86,5.88,5.86,5.88,5.93,5.88,-0.84,-1.18,0.34,0.34,0.0,0.0,Strong Bullish,49.3,6.18,4.33,-4.9,0.83,,,,,,,,0.0511,0.0738,-0.0227,Bearish,9.66,0.369,Strong Uptrend,5,5.8,1.38,True,5.65,4.07,False,5.27,11.57,False,1,83.67,71.0,50,72.96,51.5,68.95
SI=F,SI,Silver Futures,은 선물,귀금속,Precious metals proxy.,73.17,73.3,72.93,73.11,75.95,73.11,-3.74,-3.66,-0.08,0.51,0.18,0.25,Bearish,44.9,115.08,32.16,-36.5,0.44,,,,,,,,-0.8201,-0.5462,-0.2739,Bearish,14.47,0.225,Neutral,3,78.15,-6.45,False,74.65,-2.06,False,57.62,26.88,False,0,43.0,57.0,50,34.0,46.0,46.85
CL=F,CL,Crude Oil Futures,WTI 원유,에너지,WTI crude oil energy benchmark.,104.93,105.48,104.67,104.86,101.94,104.86,2.86,2.93,-0.07,0.77,0.52,0.18,Long Upper Doji,58.5,112.95,55.27,-7.2,0.01,,,,,,,,2.8856,2.1496,0.736,Bullish,27.88,0.787,Strong Uptrend,5,87.34,20.06,False,73.35,42.96,False,68.68,52.68,False,0,68.0,72.6,50,88.69,53.5,67.2
NG=F,NG,Natural Gas Futures,천연가스,에너지,Natural gas energy benchmark.,2.85,2.85,2.84,2.85,2.78,2.85,2.52,2.52,0.0,0.35,0.0,0.35,Long Lower Doji,55.6,7.46,2.52,-61.8,0.0,,,,,,,,-0.0511,-0.091,0.0399,Bullish,13.9,0.975,Strong Downtrend,1,2.91,-2.06,False,3.61,-21.05,False,3.45,-17.39,False,0,11.0,72.6,50,88.69,51.0,49.85
BZ=F,BZ,Brent Crude Oil Futures,브렌트 원유,에너지,Brent crude oil international benchmark.,113.82,114.45,113.64,113.8,108.17,113.8,5.2,5.22,-0.02,0.71,0.55,0.14,Long Upper Doji,58.9,118.35,58.92,-3.8,0.01,,,,,,,,3.9806,2.9505,1.03,Bullish,31.07,0.848,Strong Uptrend,5,93.55,21.65,False,78.54,44.89,False,72.85,56.21,False,0,65.0,66.6,50,88.69,53.5,64.8
ZC=F,ZC,Corn Futures,옥수수 선물,농산물,Agriculture grain proxy.,485.0,485.5,484.75,485.25,468.25,485.25,3.63,3.58,0.05,0.15,0.05,0.05,Bullish,77.6,485.25,371.5,0.0,0.01,,,,,,,,5.9938,3.247,2.7468,Bullish,9.75,1.189,Strong Uptrend,5,447.37,8.47,False,440.77,10.09,False,427.85,13.42,False,0,65.0,53.4,50,67.86,64.25,59.45
ZW=F,ZW,Wheat Futures,밀 선물,농산물,Agriculture grain proxy.,641.25,643.0,641.25,643.0,624.5,643.0,2.96,2.68,0.27,0.27,0.0,0.0,Strong Bullish,63.8,649.0,495.0,-0.9,0.01,,,,,,,,12.3184,8.9477,3.3708,Bullish,14.93,0.917,Strong Uptrend,5,588.3,9.3,False,556.36,15.57,False,540.44,18.98,False,0,65.0,72.0,50,67.86,64.25,64.1
SB=F,SB,Sugar Futures,설탕 선물,농산물,Soft commodities proxy.,14.98,15.33,14.85,15.31,14.95,15.31,2.41,0.2,2.2,3.2,0.13,0.87,Strong Bullish,65.7,18.22,13.31,-16.0,,,,,,,,,0.0572,-0.1402,0.1974,Bullish,15.82,1.092,Strong Downtrend,1,14.39,6.39,False,14.59,4.93,False,15.32,-0.07,True,1,38.67,73.75,50,67.86,79.33,58.15
ZS=F,ZS,Soybean Futures,대두 선물,농산물,Major grain proxy alongside corn and wheat.,1222.0,1222.0,1220.25,1221.75,1187.75,1221.75,2.86,2.88,-0.02,0.14,0.0,0.12,Bearish,72.1,1221.75,961.5,0.0,0.01,,,,,,,,8.6457,4.5554,4.0903,Bullish,4.97,1.361,Strong Uptrend,5,1161.75,5.16,False,1121.49,8.94,False,1075.41,13.61,False,0,65.0,46.0,50,67.86,57.75,56.95
KC=F,KC,Coffee Futures,커피 선물,농산물,Soft commodities proxy.,277.35,291.15,284.85,286.6,302.0,286.6,-5.1,-8.16,3.34,2.27,1.64,-2.7,Strong Bullish,40.7,432.35,280.05,-33.7,,,,,,,,,-0.2765,0.3604,-0.6369,Bearish,10.74,0.11,Strong Downtrend,0,297.16,-3.55,False,335.16,-14.49,False,344.25,-16.75,False,0,7.0,71.25,50,67.86,47.33,44.82
PA=F,PA,Palladium Futures,팔라듐 선물,귀금속,Precious metals proxy. Automotive catalytic converter demand driver.,1494.0,1496.5,1491.5,1494.5,1539.2,1494.5,-2.9,-2.94,0.03,0.33,0.13,0.17,Long Lower Doji,46.4,2169.9,938.0,-31.1,3.8,,,,,,,,-12.2765,-12.8257,0.5492,Positive,12.1,0.313,Downtrend,2,1584.0,-5.65,False,1624.98,-8.03,False,1416.79,5.48,False,0,24.0,83.2,50,34.0,62.5,49.35
ALI=F,ALI,Aluminum Futures,알루미늄 선물,산업금속,Industrial metals proxy. Key material for EVs and semiconductors.,3470.75,3487.5,3431.75,3455.5,3496.25,3455.5,-1.17,-0.73,-0.44,1.61,0.48,0.68,Bearish,49.2,3647.75,2269.75,-5.3,39.29,,,,,,,,43.9763,70.5485,-26.5723,Bearish,9.93,0.299,Strong Uptrend,5,3293.21,4.93,False,3098.46,11.52,False,2818.97,22.58,False,0,75.0,62.0,50,72.96,57.25,64.67
