symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10332.9,10338.3,10188.7,10213.1,10332.8,10213.1,-1.16,0.0,-1.16,1.45,0.05,0.24,Strong Bearish,39.5,10910.6,8496.8,-6.4,1.02,,,,,,,,-0.3229,37.3635,-37.6863,Bearish,5.52,0.052,Uptrend,4,10416.76,-1.96,True,10149.13,0.63,True,9642.78,5.91,False,2,81.33,49.0,50,59.88,55.5,61.18
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,24859.94,24935.6,24491.83,24892.31,24673.24,24892.31,0.89,0.76,0.13,1.79,0.17,1.48,Long Lower Doji,70.4,24892.31,17446.34,0.0,0.79,,,,,,,,656.7826,574.8547,81.9279,Positive,17.64,0.768,Uptrend,4,22869.95,8.84,False,23087.71,7.82,False,22194.69,12.15,False,0,53.0,59.2,50,72.24,55.25,57.06
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7161.75,7219.83,7126.15,7209.01,7135.95,7209.01,1.02,0.36,0.66,1.31,0.15,0.5,Bullish,70.2,7209.01,5569.06,0.0,0.79,,,,,,,,125.8241,109.1808,16.6433,Positive,11.69,0.786,Uptrend,4,6826.37,5.61,False,6837.36,5.44,False,6611.6,9.04,False,0,53.0,60.0,50,72.24,61.75,57.91
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,25842.63,26132.94,25811.46,26111.84,25679.78,26111.84,1.68,0.63,1.04,1.24,0.08,0.12,Strong Bullish,53.6,27968.09,21562.32,-6.6,1.23,,,,,,,,90.9419,79.5157,11.4262,Bullish,7.53,0.657,Downtrend,2,26076.3,0.14,True,26110.68,0.0,True,25548.08,2.21,False,2,57.33,92.0,50,55.76,65.75,65.14
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6619.0,6702.38,6596.03,6690.9,6641.02,6690.9,0.75,-0.33,1.09,1.61,0.17,0.35,Strong Bullish,72.3,6690.9,2470.41,0.0,0.74,,,,,,,,286.1504,227.3836,58.7668,Positive,29.36,0.852,Strong Uptrend,5,5712.83,17.12,False,5003.14,33.73,False,4100.6,63.17,False,0,65.0,57.6,50,85.25,55.25,62.21
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,48762.93,49753.26,48762.93,49652.14,48861.81,49652.14,1.62,-0.2,1.82,2.03,0.21,0.0,Strong Bullish,65.1,50188.14,40669.36,-1.1,1.52,,,,,,,,545.1842,480.2269,64.9573,Bullish,8.15,0.786,Neutral,3,48166.99,3.08,False,48180.22,3.06,False,46492.68,6.8,False,0,48.0,87.0,50,72.24,66.75,63.66
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,18.68,18.73,16.87,16.89,18.81,16.89,-10.21,-0.69,-9.58,9.96,0.27,0.11,Strong Bearish,38.2,31.05,13.47,-45.6,,,,,,,,,-1.4559,-1.3423,-0.1135,Bearish,48.28,0.216,Uptrend,4,21.84,-22.66,False,19.43,-13.07,False,18.25,-7.45,False,0,40.0,51.25,50,0.0,47.33,39.55
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,60531.78,60634.66,59701.84,59917.46,60537.36,59917.46,-1.02,-0.01,-1.01,1.54,0.17,0.36,Strong Bearish,63.3,60537.36,34220.6,-1.0,1.2,,,,,,,,1519.3096,1233.4145,285.8951,Positive,18.48,0.763,Strong Uptrend,5,55768.64,7.44,False,53421.45,12.16,False,47649.36,25.75,False,0,65.0,68.6,50,72.86,55.5,63.13
^STOXX50E,STOXX50E,Euro STOXX 50,유로존 50,EU Index,Eurozone large-cap benchmark covering 50 blue-chip stocks.,5833.86,5850.3,5796.57,5816.48,5836.1,5816.48,-0.34,-0.04,-0.3,0.92,0.28,0.34,Bearish,47.6,6173.32,5154.12,-5.8,0.71,,,,,,,,23.8279,33.6872,-9.8593,Bearish,8.32,0.401,Neutral,3,5866.93,-0.86,True,5822.09,-0.1,True,5622.66,3.45,False,2,69.33,57.0,50,53.62,51.5,58.24
^BSESN,BSESN,BSE SENSEX,인도 센섹스,IN Index,Indian stock market large-cap benchmark.,77245.83,77982.51,77136.2,77496.36,76886.91,77496.36,0.79,0.47,0.32,1.1,0.63,0.14,Bullish,51.2,85762.01,71947.55,-9.6,0.86,,,,,,,,130.1209,2.8589,127.262,Positive,10.79,0.605,Strong Downtrend,0,78895.6,-1.77,True,81665.64,-5.11,False,81812.58,-5.28,False,1,26.67,78.0,50,25.53,61.75,47.51
^FCHI,FCHI,CAC 40,프랑스 CAC40,FR Index,French large-cap benchmark.,8088.98,8110.62,8036.46,8072.13,8104.09,8072.13,-0.39,-0.19,-0.21,0.92,0.27,0.44,Bearish,46.5,8620.93,7537.57,-6.4,0.85,,,,,,,,26.621,44.8356,-18.2146,Bearish,7.59,0.343,Neutral,3,8154.83,-1.01,True,8141.15,-0.85,True,7991.54,1.01,True,3,76.0,60.0,50,53.27,51.5,60.94
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,24072.9,24110.0,23880.52,23954.56,24018.26,23954.56,-0.27,0.23,-0.49,0.95,0.15,0.31,Bearish,51.4,25420.66,22300.75,-5.8,1.05,,,,,,,,144.1507,133.5327,10.6181,Positive,8.44,0.535,Strong Downtrend,1,24031.06,-0.32,True,24155.4,-0.83,True,24075.65,-0.5,True,3,52.0,70.6,50,30.11,55.5,53.32
000001.SS,SSE,SSE Composite Index,상하이 종합,CN Index,Shanghai Stock Exchange composite index.,4061.82,4112.15,4061.82,4107.51,4078.64,4107.51,0.71,-0.41,1.12,1.24,0.11,0.0,Strong Bullish,61.1,4182.59,3276.0,-1.8,1.08,,,,,,,,26.4876,15.3539,11.1337,Positive,7.2,0.793,Uptrend,4,4052.1,1.37,True,4013.88,2.33,False,3819.9,7.53,False,1,71.67,76.6,50,72.97,59.25,67.52
^AXJO,AXJO,S&P/ASX 200,호주 ASX 200,AU Index,Australian large-cap benchmark.,8710.7,8710.7,8659.1,8687.0,8710.7,8687.0,-0.27,0.0,-0.27,0.59,0.0,0.32,Bearish,41.8,9198.6,8151.4,-5.6,0.89,,,,,,,,6.462,31.2836,-24.8216,Bearish,6.76,0.259,Neutral,3,8819.89,-1.51,True,8762.54,-0.86,True,8754.7,-0.77,True,3,76.0,60.0,50,54.11,51.5,61.07
^TWII,TWII,Taiwan Weighted Index,대만 가권지수,TW Index,Taiwan stock market composite benchmark.,39176.24,39548.18,38896.3,39303.5,39521.73,39303.5,-0.55,-0.87,0.32,1.66,0.62,0.71,Bullish,73.6,39616.63,18793.43,-0.8,0.82,,,,,,,,1527.9871,1233.4863,294.5008,Positive,25.92,0.821,Strong Uptrend,5,34187.63,14.96,False,31342.02,25.4,False,27522.73,42.8,False,0,65.0,57.0,50,76.15,51.5,60.32
