symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
IBB,IBB,iShares Biotechnology ETF,바이오테크 ETF,바이오테크,Biotechnology proxy.,166.23,169.11,165.98,168.69,165.38,168.69,2.0,0.51,1.48,1.88,0.25,0.15,Strong Bullish,46.8,177.51,116.35,-5.0,1.1,23.1,1.04,,,,,,-0.1612,0.6664,-0.8277,Improving,7.55,0.278,Neutral,3,170.39,-1.0,True,170.06,-0.81,True,153.6,9.82,False,2,69.33,79.6,70.0,70.0,68.25,72.02
BOTZ,BOTZ,Global X Robotics & AI ETF,로봇·AI ETF,로봇·AI,Robotics and AI proxy.,37.83,38.48,37.79,38.45,37.33,38.45,3.0,1.34,1.64,1.82,0.08,0.11,Strong Bullish,62.2,39.66,28.37,-3.1,1.28,39.4,,,,,,,0.7336,0.5182,0.2154,Bullish,17.2,0.837,Neutral,3,36.39,5.66,False,36.38,5.69,False,35.03,9.76,False,0,41.0,81.0,45.0,77.0,68.25,59.92
ICLN,ICLN,iShares Global Clean Energy ETF,클린에너지 ETF,클린에너지,Clean energy proxy.,20.6,20.78,20.21,20.77,20.33,20.77,2.16,1.33,0.83,2.77,0.05,1.89,Bullish Reversal,68.1,20.77,11.53,0.0,1.03,23.6,,,,,,,0.5194,0.4099,0.1094,Bullish,17.14,0.928,Strong Uptrend,5,18.74,10.83,False,17.91,15.97,False,16.07,29.25,False,0,65.0,64.6,65.0,95.12,68.25,69.74
ARKK,ARKK,ARK Innovation ETF,혁신성장 ETF,혁신성장,High-beta innovation proxy.,74.13,76.21,73.8,75.84,73.53,75.84,3.14,0.82,2.31,3.25,0.5,0.45,Strong Bullish,54.6,92.53,48.78,-18.0,0.78,49.9,,,,,,,1.3365,1.4579,-0.1213,Bearish,21.09,0.599,Downtrend,2,72.04,5.27,False,75.72,0.16,True,75.54,0.4,True,2,57.33,68.0,45.0,65.98,70.0,60.1
SOXX,SOXX,iShares Semiconductor ETF,반도체 ETF,반도체,Semiconductor cycle proxy.,456.58,462.14,449.35,461.44,449.99,461.44,2.54,1.46,1.06,2.8,0.15,1.58,Bullish Reversal,75.0,461.6,182.42,-0.0,0.78,51.8,1.09,,,,,,28.0572,24.1745,3.8827,Positive,37.67,0.846,Strong Uptrend,5,364.51,26.59,False,338.18,36.45,False,294.24,56.82,False,0,65.0,57.2,50.0,97.78,64.25,64.89
XLF,XLF,Financial Select Sector SPDR,금융 ETF,금융,Financial sector proxy.,51.51,52.25,51.2,52.13,51.92,52.13,0.4,-0.79,1.2,2.04,0.23,0.6,Bullish,59.8,56.11,47.81,-7.1,0.89,17.6,1.53,,,,,,0.4656,0.4646,0.001,Positive,6.84,0.668,Downtrend,2,50.93,2.36,False,52.21,-0.15,True,52.02,0.21,True,2,57.33,78.0,78.5,46.8,55.25,64.94
XLK,XLK,Technology Select Sector SPDR,기술 ETF,기술,Large-cap technology proxy.,159.65,159.79,156.88,159.5,159.11,159.5,0.25,0.34,-0.09,1.82,0.09,1.64,Long Lower Doji,70.9,160.57,104.39,-0.7,0.86,37.9,1.07,,,,,,5.5684,4.8281,0.7403,Positive,22.45,0.771,Uptrend,4,142.23,12.14,False,143.19,11.39,False,137.29,16.18,False,0,53.0,62.2,60.0,69.75,55.25,59.44
XLE,XLE,Energy Select Sector SPDR,에너지 ETF,에너지,Energy sector proxy.,58.2,59.83,57.94,59.65,59.03,59.65,1.05,-1.41,2.49,3.25,0.31,0.45,Strong Bullish,62.4,62.56,39.0,-4.7,0.74,23.0,1.14,,,,,,0.1269,-0.125,0.2519,Bullish,10.76,0.879,Strong Uptrend,5,56.77,5.07,False,51.22,16.46,False,46.83,27.38,False,0,65.0,72.0,70.0,87.35,55.25,70.13
HACK,HACK,ETFMG Prime Cyber Security ETF,사이버보안 ETF,사이버보안,Cybersecurity industry proxy.,80.09,80.09,77.89,79.25,80.51,79.25,-1.57,-0.52,-1.05,2.75,0.0,1.7,Bearish,54.4,89.1,70.69,-11.1,0.68,30.1,,,,,,,0.9425,0.6856,0.2569,Positive,13.09,0.655,Strong Downtrend,1,76.45,3.66,False,79.1,0.19,True,81.97,-3.32,False,1,38.67,67.6,45.0,21.01,57.25,46.38
ITA,ITA,iShares U.S. Aerospace & Defense ETF,방산·항공 ETF,방산·항공,US aerospace and defense sector proxy.,214.01,219.0,213.96,218.56,213.14,218.56,2.54,0.41,2.13,2.36,0.21,0.02,Strong Bullish,42.9,250.42,156.08,-12.7,0.81,37.5,,,,,,,-3.4984,-2.4005,-1.0978,Improving,12.83,0.277,Neutral,3,230.7,-5.26,False,223.89,-2.38,False,209.47,4.34,False,0,51.0,79.6,45.0,73.78,70.0,62.27
