symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
SI=F,SI,Silver Futures,은 선물,귀금속,Precious metals proxy.,74.42,76.88,73.11,75.95,73.53,75.95,3.29,1.21,2.06,5.07,1.25,1.76,Bullish,49.8,115.08,31.99,-34.0,0.28,,,,,,,,-0.6974,-0.4777,-0.2197,Improving,14.62,0.485,Neutral,3,78.21,-2.89,False,74.44,2.03,False,57.46,32.18,False,0,43.0,73.0,50,66.52,63.25,57.45
GC=F,GC,Gold Futures,금 선물,귀금속,Precious metals proxy.,4636.7,4636.7,4581.7,4629.9,4614.7,4629.9,0.33,0.48,-0.15,1.19,0.0,1.04,Bearish,44.5,5318.4,3181.4,-12.9,0.12,,,,,,,,-43.3723,-32.6593,-10.7129,Improving,7.11,0.239,Neutral,3,4856.46,-4.67,False,4641.22,-0.24,True,4101.48,12.88,False,1,62.67,65.6,50,66.52,61.0,61.28
CL=F,CL,Crude Oil Futures,WTI 원유,에너지,WTI crude oil energy benchmark.,105.14,106.65,99.3,101.94,105.07,101.94,-2.98,0.07,-3.04,6.99,1.44,2.51,Bearish,56.0,112.95,55.27,-9.7,1.16,,,,,,,,2.6003,1.9656,0.6347,Positive,30.39,0.651,Strong Uptrend,5,86.64,17.66,False,72.97,39.7,False,68.51,48.8,False,0,68.0,70.6,50,45.94,51.0,60.04
ZC=F,ZC,Corn Futures,옥수수 선물,농산물,Agriculture grain proxy.,462.75,471.25,461.75,468.25,464.75,468.25,0.75,-0.43,1.19,2.05,0.65,0.22,Bullish,67.4,469.75,371.5,-0.3,0.06,,,,,,,,4.2663,2.5603,1.706,Bullish,7.45,0.947,Strong Uptrend,5,446.53,4.86,False,440.29,6.35,False,427.69,9.48,False,0,72.0,68.4,50,62.62,55.25,63.62
PL=F,PL,Platinum Futures,백금 선물,귀금속,Platinum precious metals proxy.,1996.6,1996.6,1996.6,1996.6,1979.0,1996.6,0.89,0.89,0.0,0.0,0.0,0.0,Flat,48.2,2852.4,957.5,-30.0,1.29,,,,,,,,-19.708,-12.2222,-7.4859,Improving,13.03,0.383,Neutral,3,2061.47,-3.15,False,2030.46,-1.67,True,1711.59,16.65,False,1,62.67,77.6,50,66.52,65.0,64.68
NG=F,NG,Natural Gas Futures,천연가스,에너지,Natural gas energy benchmark.,2.76,2.82,2.75,2.78,2.77,2.78,0.36,-0.36,0.72,2.54,1.45,0.36,Bullish,51.6,7.46,2.52,-62.7,1.52,,,,,,,,-0.0701,-0.101,0.0309,Bullish,13.37,0.804,Strong Downtrend,1,2.92,-4.79,False,3.63,-23.42,False,3.45,-19.42,False,0,11.0,82.4,50,45.94,60.0,46.79
HG=F,HG,Copper Futures,구리 선물,산업금속,Industrial metals proxy.,5.93,5.94,5.91,5.93,5.93,5.93,0.0,0.0,0.0,0.51,0.17,0.34,Long Lower Doji,53.0,6.18,4.33,-4.0,0.74,,,,,,,,0.0617,0.0795,-0.0177,Bearish,11.12,0.494,Strong Uptrend,5,5.8,2.24,False,5.65,4.96,False,5.26,12.74,False,0,72.0,63.6,50,80.0,51.5,64.65
BZ=F,BZ,Brent Crude Oil Futures,브렌트 원유,에너지,Brent crude oil international benchmark.,111.01,112.43,106.27,108.17,114.01,108.17,-5.12,-2.63,-2.56,5.55,1.28,1.71,Bearish,54.7,118.35,58.92,-8.6,1.31,,,,,,,,3.7128,2.693,1.0198,Positive,30.16,0.684,Strong Uptrend,5,92.78,16.59,False,78.12,38.47,False,72.65,48.89,False,0,68.0,76.6,50,45.94,51.0,61.54
ZW=F,ZW,Wheat Futures,밀 선물,농산물,Agriculture grain proxy.,632.0,632.0,620.25,624.5,623.75,624.5,0.12,1.32,-1.19,1.86,0.0,0.67,Bearish,58.1,649.0,495.0,-3.8,0.04,,,,,,,,11.092,8.105,2.987,Positive,13.84,0.759,Strong Uptrend,5,586.51,6.48,False,555.4,12.44,False,539.96,15.66,False,0,65.0,67.6,50,62.62,55.25,61.32
KC=F,KC,Coffee Futures,커피 선물,농산물,Soft commodities proxy.,299.5,301.5,295.95,302.0,300.9,302.0,0.37,-0.47,0.83,1.85,-0.17,1.19,Bullish Reversal,50.5,432.35,280.05,-30.1,0.0,,,,,,,,1.0663,0.5197,0.5466,Positive,9.99,0.577,Strong Downtrend,1,297.52,1.51,True,336.17,-10.16,False,344.6,-12.36,False,1,30.67,78.2,50,62.62,59.25,54.07
SB=F,SB,Sugar Futures,설탕 선물,농산물,Soft commodities proxy.,14.64,15.01,14.42,14.95,14.58,14.95,2.54,0.41,2.12,4.03,0.41,1.5,Bullish,61.6,18.22,13.31,-17.9,1.43,,,,,,,,-0.0327,-0.1896,0.1569,Bullish,14.73,0.97,Strong Downtrend,1,14.37,4.04,False,14.58,2.54,False,15.33,-2.48,False,0,27.0,77.4,50,62.62,74.0,54.24
