symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
028300.KQ,028300,HLB Inc.,HLB,바이오,"리보세라닙 항암 신약 개발, HLB그룹 지주",60200.0,56.5,68200.0,37000.0,-11.7,0.33,,,,Strong Uptrend,5,54275.0,10.92,False,51974.0,15.83,False,49268.0,22.19,False,15.0,0
247540.KQ,247540,EcoPro BM Co.,에코프로비엠,이차전지 소재,"NCM 양극재 제조, 전기차 배터리 핵심 소재",208000.0,53.0,245879.0,81160.0,-15.4,0.75,,162848.0,-21.7,Strong Uptrend,5,204519.0,1.7,True,180757.0,15.07,False,147273.0,41.23,False,28.2,1
122870.KQ,122870,YG Entertainment Inc.,와이지엔터테인먼트,엔터테인먼트,"K-팝 기획사, BLACKPINK·BIGBANG·TREASURE",54600.0,47.4,107400.0,49900.0,-49.2,0.36,,84432.0,54.6,Strong Downtrend,0,62548.0,-12.71,False,64876.0,-15.84,False,77524.0,-29.57,False,35.0,0
035900.KQ,035900,JYP Entertainment,JYP엔터테인먼트,엔터테인먼트,"K-팝 기획사, TWICE·Stray Kids·NMIXX",63500.0,53.7,83841.0,57308.0,-24.3,0.95,,89858.0,41.5,Strong Downtrend,0,65068.0,-2.41,False,67271.0,-5.61,False,70529.0,-9.97,False,35.0,0
086520.KQ,086520,EcoPro Co.,에코프로,이차전지 소재,"에코프로비엠 지주, 이차전지 소재 그룹사",156600.0,54.4,184814.0,38311.0,-15.3,0.8,,37000.0,-76.4,Strong Uptrend,5,156170.0,0.28,True,125459.0,24.82,False,88135.0,77.68,False,33.88,1
196170.KQ,196170,Alteogen Inc.,알테오젠,바이오,"피하주사 플랫폼 ALT-B4, ADC 항체-약물 접합체 개발",369000.0,51.4,559000.0,317500.0,-34.0,1.2,,435000.0,17.9,Strong Downtrend,1,374900.0,-1.57,True,429929.0,-14.17,False,425875.0,-13.35,False,40.72,1
041510.KQ,041510,SM Entertainment,에스엠,엔터테인먼트,"SM엔터 K-팝 기획·제작, EXO·aespa·NCT",93200.0,51.0,152508.0,83000.0,-38.9,0.81,,136957.0,46.9,Strong Downtrend,0,100718.0,-7.46,False,105729.0,-11.85,False,119339.0,-21.9,False,35.0,0
058470.KQ,058470,Leeno Industrial Inc.,리노공업,반도체 부품,"반도체 검사용 소켓·핀 제조, 글로벌 점유율 1위",124400.0,64.5,127000.0,32768.0,-2.0,1.14,,106929.0,-14.0,Strong Uptrend,5,106832.0,16.44,False,83372.0,49.21,False,64530.0,92.78,False,10.0,0
293490.KQ,293490,Kakao Games Corp.,카카오게임즈,게임,"카카오 게임 퍼블리싱, 오딘·아키에이지 워",12350.0,44.8,23500.0,11510.0,-47.4,0.58,,13508.0,9.4,Strong Downtrend,0,13862.0,-10.91,False,14731.0,-16.16,False,15614.0,-20.9,False,10.0,0
096530.KQ,096530,Seegene Inc.,씨젠,바이오 진단,"분자진단 시약·장비 제조, 다중 동시 검출 원천기술",25000.0,55.9,34360.0,21663.0,-27.2,0.54,,39500.0,58.0,Strong Downtrend,1,24491.0,2.08,False,24504.0,2.02,False,26491.0,-5.63,False,35.0,0
