symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,25112.18,25210.47,24913.12,25067.8,25114.44,25067.8,-0.19,-0.01,-0.18,1.18,0.39,0.62,Bearish,71.4,25114.44,17689.66,-0.2,0.76,,,,,,,,665.1899,607.801,57.3889,Positive,15.09,0.771,Uptrend,4,22948.9,9.23,False,23122.08,8.41,False,22243.67,12.7,False,0,53.0,52.6,50,64.44,51.5,53.87
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,59379.12,59706.7,59263.5,59513.12,59284.92,59513.12,0.38,0.16,0.23,0.75,0.33,0.19,Bullish,60.6,60537.36,34220.6,-1.7,1.02,,,,,,,,1396.0257,1300.4684,95.5573,Positive,15.98,0.688,Strong Uptrend,5,55982.31,6.31,False,53546.96,11.14,False,47834.21,24.42,False,0,65.0,73.0,50,82.66,65.75,66.72
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6739.39,6750.27,6597.83,6598.87,6690.9,6598.87,-1.38,0.72,-2.09,2.26,0.16,0.02,Strong Bearish,67.8,6690.9,2483.42,-1.4,0.71,,,,,,,,283.489,238.6047,44.8843,Positive,27.05,0.781,Strong Uptrend,5,5735.74,15.05,False,5023.78,31.35,False,4117.35,60.27,False,0,65.0,59.6,50,67.16,51.5,59.62
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,26008.32,26072.24,25734.16,25776.53,26111.84,25776.53,-1.28,-0.4,-0.89,1.3,0.25,0.16,Strong Bearish,48.8,27968.09,21909.76,-7.8,1.33,,,,,,,,69.767,77.566,-7.7989,Bearish,6.47,0.451,Strong Downtrend,1,26042.12,-1.02,True,26109.59,-1.28,True,25557.36,0.86,True,3,52.0,63.0,50,23.04,55.5,50.36
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,17.38,19.08,17.15,18.29,16.99,18.29,7.65,2.3,5.24,11.1,4.55,1.32,Bullish,44.0,31.05,13.47,-41.1,,,,,,,,,-1.3937,-1.376,-0.0176,Improving,39.58,0.414,Uptrend,4,21.75,-15.91,False,19.4,-5.72,False,18.25,0.22,True,1,66.67,81.25,50,100.0,70.33,72.35
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7228.38,7244.54,7174.12,7200.75,7230.12,7200.75,-0.41,-0.02,-0.38,0.97,0.22,0.37,Bearish,67.9,7230.12,5606.91,-0.4,0.59,,,,,,,,125.6409,115.4602,10.1806,Positive,9.59,0.741,Uptrend,4,6838.87,5.29,False,6845.54,5.19,False,6622.05,8.74,False,0,53.0,62.6,50,64.44,51.5,56.37
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,49416.66,49441.43,48913.06,48941.9,49499.27,48941.9,-1.13,-0.17,-0.96,1.07,0.05,0.06,Strong Bearish,55.0,50188.14,40829.0,-2.5,0.9,,,,,,,,496.1916,493.965,2.2266,Positive,6.18,0.552,Neutral,3,48167.51,1.61,True,48218.07,1.5,True,46546.82,5.15,False,2,66.33,67.6,50,64.44,51.5,61.61
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10378.4,10378.5,10294.2,10363.9,10378.8,10363.9,-0.14,-0.0,-0.14,0.81,0.0,0.67,Bearish,48.1,10910.6,8531.6,-5.0,0.91,,,,,,,,-5.1579,22.4998,-27.6577,Improving,4.92,0.271,Uptrend,4,10417.19,-0.51,True,10160.16,2.01,False,9656.01,7.33,False,1,74.67,68.6,50,67.02,51.5,64.75
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,23715.71,24293.11,23715.71,24292.38,23954.56,24292.38,1.41,-1.0,2.43,2.43,0.0,0.0,Strong Bullish,57.2,25420.66,22300.75,-4.4,1.21,,,,,,,,154.2404,137.6742,16.5662,Bullish,7.08,0.693,Downtrend,2,24022.92,1.12,True,24158.26,0.56,True,24076.72,0.9,True,3,61.0,92.0,50,53.87,59.25,65.31
^STOXX50E,STOXX50E,Euro STOXX 50,유로존 50,EU Index,Eurozone large-cap benchmark covering 50 blue-chip stocks.,0.0,0.0,0.0,5763.61,5881.51,5763.61,-2.0,-100.0,,,,,Flat,44.4,6173.32,5160.22,-6.6,,,,,,,,,12.3485,27.6792,-15.3307,Bearish,6.67,0.199,Neutral,3,5861.59,-1.67,True,5824.64,-1.05,True,5626.11,2.44,False,2,69.33,61.25,50,42.0,54.67,57.88
